sa2_main,ERP_30_june_2017,erp_30_june_2018,erp_2017_2018_change_no,erp_2017_2018_change_percent,erp_2017_2018_change_component_natural_increase,erp_2017_2018_change_component_net_internal_migration,erp_2017_2018_change_component_net_overseas_migration,area_km2,population_density_persons_per_km2
104021086,3952,4015,63,1.6,32,17,14,363.9,11
104021087,3244,3218,-26,-0.8,7,-44,11,1987.7,1.6
104021088,9300,9617,317,3.4,88,170,59,57.7,166.7
104021089,19927,19982,55,0.3,59,-78,74,118.2,169
104021090,4755,4770,15,0.3,-14,15,14,108.4,44
104021091,13019,13250,231,1.8,63,52,116,270.2,49
105011092,4132,4061,-71,-1.7,26,-101,4,56843.7,0.1
105011093,4754,4736,-18,-0.4,45,-81,18,45551.4,0.1
105011094,4218,4175,-43,-1,18,-63,2,12142.4,0.3
105011095,5027,4960,-67,-1.3,21,-98,10,21216,0.2
105011096,6510,6386,-124,-1.9,23,-157,10,27011.7,0.2
105021097,17883,17734,-149,-0.8,1,-186,36,170.1,104.2
105021098,2516,2496,-20,-0.8,14,-50,16,146690.1,0
105031099,8036,7981,-55,-0.7,-4,-67,16,10474.1,0.8
105031100,10601,10542,-59,-0.6,109,-228,60,87.7,120.2
105031101,17813,18240,427,2.4,162,153,112,25.4,717.2
105031102,9299,9610,311,3.3,131,142,38,69.4,138.4
105031103,5787,5913,126,2.2,36,86,4,4128.6,1.4
105031104,4410,4393,-17,-0.4,6,-39,16,5393.4,0.8
105031105,6668,6640,-28,-0.4,42,-81,11,5956.3,1.1
105031106,9107,9464,357,3.9,65,276,16,3603.4,2.6
106011107,10576,11017,441,4.2,136,282,23,392.3,28.1
106011108,22814,23444,630,2.8,64,539,27,69,339.9
106011109,8214,8402,188,2.3,33,144,11,1570.4,5.4
106011110,9193,9346,153,1.7,54,93,6,2250,4.2
106011111,18229,18623,394,2.2,164,203,27,90.6,205.5
106011112,16470,16346,-124,-0.8,107,-289,58,127.2,128.5
106011113,5045,5106,61,1.2,34,23,4,4067.2,1.3
106021114,7063,7445,382,5.4,65,301,16,32.1,232.1
106021115,28296,28569,273,1,205,-24,92,40.6,703.9
106021116,7917,8076,159,2,50,90,19,70.5,114.5
106021117,23741,24284,543,2.3,238,250,55,175.4,138.4
106021118,10783,11616,833,7.7,152,662,19,61.5,189
106031119,5875,5906,31,0.5,24,-15,22,68.1,86.8
106031120,6831,6823,-8,-0.1,11,-35,16,30,227.6
106031121,21851,22145,294,1.3,-118,308,104,47.5,466.4
106031122,14076,14025,-51,-0.4,40,-126,35,109.5,128.1
106031123,5498,5532,34,0.6,44,-12,2,247.5,22.4
106031124,5195,5287,92,1.8,-72,142,22,204.3,25.9
106031125,14229,14495,266,1.9,106,131,29,365.2,39.7
106041126,12394,12364,-30,-0.2,140,-212,42,262.4,47.1
106041127,4051,4019,-32,-0.8,2,-54,20,3142.5,1.3
106041128,5876,5827,-49,-0.8,17,-98,32,118.6,49.1
106041129,8413,8408,-5,-0.1,19,-39,15,7949,1.1
107011131,24344,24523,179,0.7,138,2,39,56.6,433.3
107011132,9323,9733,410,4.4,127,259,24,44.2,220
107011133,11,11,0,0,0,0,0,12.7,0.9
107011134,15882,15849,-33,-0.2,20,-113,60,25.1,630.2
107011545,14524,14656,132,0.9,105,-53,80,12.5,1169.6
107011546,10138,10173,35,0.3,27,-30,38,7,1459.4
107011547,4356,4381,25,0.6,6,-17,36,5.5,800.8
107021135,5,5,0,0,0,0,0,744.3,0
107031136,14914,15247,333,2.2,127,171,35,75.1,203
107031137,6957,6930,-27,-0.4,11,-54,16,7.2,966.8
107031138,8057,8223,166,2.1,17,103,46,13.9,593.5
107031139,6134,6187,53,0.9,39,-2,16,7.3,852.1
107031140,8157,8449,292,3.6,17,239,36,222.3,38
107031141,17830,18610,780,4.4,181,535,64,49.6,375.3
107031142,10285,10363,78,0.8,26,1,51,6.1,1712.6
107031143,21050,21090,40,0.2,82,-104,62,9.5,2221.2
107041144,22176,22283,107,0.5,89,-288,306,12.3,1817
107041145,15968,15998,30,0.2,46,-92,76,11.1,1445.8
107041146,22105,22388,283,1.3,111,-217,389,18.8,1190
107041147,9168,9237,69,0.8,73,-33,29,154.8,59.7
107041148,11822,11954,132,1.1,77,-19,74,16.2,739.9
107041150,20692,20936,244,1.2,31,112,101,15.8,1326.3
107041548,15141,15914,773,5.1,31,335,407,5.5,2891.5
107041549,17756,18053,297,1.7,116,-301,482,5.7,3190
108011151,4782,4767,-15,-0.3,-6,-17,8,2334,2
108011152,14692,14787,95,0.6,-82,139,38,33.9,436.5
108011153,6307,6403,96,1.5,9,75,12,749.5,8.5
108011154,6327,6372,45,0.7,-89,120,14,15.7,406.6
108021155,15279,15309,30,0.2,-41,28,43,195.2,78.4
108021156,9130,9132,2,0,38,-60,24,3627.3,2.5
108021157,4958,5020,62,1.3,-14,72,4,83.8,59.9
108021158,6863,6849,-14,-0.2,-51,23,14,31.1,220.6
108021159,7839,7866,27,0.3,35,-26,18,1356.1,5.8
108021160,5248,5285,37,0.7,-22,47,12,46,115
108031161,416,421,5,1.2,4,1,0,16.3,25.8
108041162,17421,17835,414,2.4,-64,443,35,524.9,34
108041163,28953,29177,224,0.8,2,85,137,42.1,693.2
108041164,18166,18796,630,3.5,-53,625,58,54.2,347
108041165,5406,5437,31,0.6,13,10,8,2871.7,1.9
108041166,11501,11799,298,2.6,17,259,22,194.9,60.6
108051167,5140,5165,25,0.5,-25,34,16,2933.9,1.8
108051168,10872,11123,251,2.3,34,194,23,209.6,53.1
108051169,20894,20902,8,0,-94,52,50,125.1,167.1
108051170,12667,12789,122,1,-1,109,14,3344.9,3.8
108051171,5499,5479,-20,-0.4,-24,2,2,61.5,89
109011172,15738,16307,569,3.6,127,364,78,101.5,160.6
109011173,10145,10262,117,1.2,75,0,42,24.2,424.8
109011174,10647,10589,-58,-0.5,-34,-95,71,48.4,218.7
109011175,11904,12014,110,0.9,53,35,22,5401.9,2.2
109011176,14909,15016,107,0.7,115,-86,78,21.5,699.5
109021177,3001,3004,3,0.1,13,-25,15,13922.9,0.2
109021178,6110,6150,40,0.7,24,12,4,322.6,19.1
109021179,3674,3678,4,0.1,26,-32,10,49722.7,0.1
109031180,5513,5486,-27,-0.5,-42,4,11,77.2,71.1
109031181,6903,6961,58,0.8,13,31,14,4495.2,1.5
109031182,7530,7584,54,0.7,2,25,27,143.2,53
109031183,6795,6775,-20,-0.3,6,-42,16,18338.2,0.4
109031184,6129,6308,179,2.9,26,128,25,167.1,37.7
109031185,9979,10035,56,0.6,5,9,42,5011,2
110011186,24369,24504,135,0.6,110,-303,328,274.6,89.2
110011187,4579,4555,-24,-0.5,-2,-38,16,6098.2,0.7
110011188,6116,6086,-30,-0.5,8,-50,12,3280.3,1.9
110011189,3257,3231,-26,-0.8,-7,-25,6,6742.5,0.5
110021190,8923,8908,-15,-0.2,-48,21,12,5480,1.6
110021191,11899,11894,-5,0,48,-85,32,207.7,57.3
110021192,5319,5297,-22,-0.4,18,-58,18,9274.6,0.6
110021193,6092,6171,79,1.3,-15,90,4,8283.6,0.7
110021194,6660,6638,-22,-0.3,-1,-29,8,7322.8,0.9
110031195,8409,8342,-67,-0.8,61,-147,19,69.4,120.2
110031196,5618,5568,-50,-0.9,39,-97,8,19811.1,0.3
